Date,Cash,Portfolio_Value,Total_Equity
2020-10-22,12.7,23828.58,23841.28
2020-10-23,12.7,23677.92,23690.62
2020-10-26,12.7,23626.89,23639.59
2020-10-27,12.7,23250.24,23262.94
2020-10-28,12.7,22249.08,22261.78
2020-10-29,12.7,22550.4,22563.1
2020-10-30,12.7,22030.38,22043.08
2020-11-03,12.7,22419.18,22431.88
2020-11-04,12.7,22880.88,22893.58
2020-11-05,12.7,23558.85,23571.55
2020-11-06,12.7,23617.17,23629.87
2020-11-09,12.7,24178.5,24191.2
2020-11-10,12.7,24543.0,24555.7
2020-11-11,12.7,24516.27,24528.97
2020-11-12,12.7,23984.1,23996.8
2020-11-13,12.7,24501.69,24514.39
2020-11-16,12.7,24909.93,24922.63
2020-11-17,12.7,25053.3,25066.0
2020-11-18,12.7,24766.56,24779.26
2020-11-19,12.7,24963.39,24976.09
2020-11-23,12.7,25097.04,25109.74
2020-11-24,12.7,25689.96,25702.66
2020-11-25,12.7,25716.69,25729.39
2020-11-26,12.7,25762.86,25775.56
2020-11-27,12.7,25864.92,25877.62
2020-11-30,12.7,25515.0,25527.7
2020-12-01,12.7,26013.15,26025.85
2020-12-02,12.7,26183.25,26195.95
2020-12-03,12.7,26280.45,26293.15
2020-12-04,12.7,26591.49,26604.19
2020-12-07,12.7,26562.33,26575.03
2020-12-08,12.7,26593.92,26606.62
2020-12-09,12.7,26431.11,26443.81
2020-12-10,12.7,26900.1,26912.8
2020-12-11,12.7,26921.97,26934.67
2020-12-14,12.7,26778.6,26791.3
2020-12-15,12.7,27157.68,27170.38
2020-12-16,12.7,27544.05,27556.75
2020-12-17,12.7,27699.57,27712.27
2020-12-18,12.7,27580.5,27593.2
2020-12-21,12.7,27077.49,27090.19
2020-12-22,12.7,27276.75,27289.45
2020-12-23,12.7,27493.02,27505.72
2020-12-28,12.7,27872.1,27884.8
2020-12-29,12.7,27937.71,27950.41
2020-12-30,12.7,28078.65,28091.35
2021-01-04,12.7,27723.87,27736.57
2021-01-05,12.7,27869.67,27882.37
2021-01-06,12.7,27835.65,27848.35
2021-01-07,12.7,28763.91,28776.61
2021-01-08,12.7,29257.2,29269.9
2021-01-11,12.7,28824.66,28837.36
2021-01-12,12.7,29026.35,29039.05
2021-01-13,12.7,28518.48,28531.18
2021-01-14,12.7,28839.24,28851.94
2021-01-15,12.7,28134.54,28147.24
2021-01-18,12.7,28319.22,28331.92
2021-01-19,12.7,28188.0,28200.7
2021-01-20,12.7,28003.32,28016.02
2021-01-21,12.7,27655.83,27668.53
2021-01-22,12.7,27502.74,27515.44
2021-01-26,12.7,27235.44,27248.14
2021-01-27,12.7,26963.28,26975.98
2021-01-28,12.7,27825.93,27838.63
2021-01-29,12.7,26866.08,26878.78
2021-02-01,12.7,27473.58,27486.28
2021-02-02,12.7,27665.55,27678.25
2021-02-03,12.7,28005.75,28018.45
2021-02-04,12.7,27852.66,27865.36
2021-02-05,12.7,28144.26,28156.96
2021-02-08,12.7,27988.74,28001.44
2021-02-09,12.7,27923.13,27935.83
2021-02-10,12.7,27682.56,27695.26
2021-02-11,12.7,27920.7,27933.4
2021-02-12,12.7,27957.15,27969.85
2021-02-17,12.7,28153.98,28166.68
2021-02-18,12.7,27850.23,27862.93
2021-02-19,12.7,27658.26,27670.96
2021-02-22,12.7,26304.75,26317.45
2021-02-23,12.7,26914.68,26927.38
2021-02-24,12.7,27084.78,27097.48
2021-02-25,12.7,26129.79,26142.49
2021-02-26,12.7,25658.37,25671.07
2021-03-01,12.7,25743.42,25756.12
2021-03-02,12.7,26122.5,26135.2
2021-03-03,12.7,26039.88,26052.58
2021-03-04,12.7,26382.51,26395.21
2021-03-05,12.7,26955.99,26968.69
2021-03-08,12.7,25600.05,25612.75
2021-03-09,12.7,26047.17,26059.87
2021-03-10,12.7,26397.09,26409.79
2021-03-11,12.7,26839.35,26852.05
2021-03-12,12.7,26652.24,26664.94
2021-03-15,12.7,26890.38,26903.08
2021-03-16,12.7,26654.67,26667.37
2021-03-17,12.7,27228.15,27240.85
2021-03-18,12.7,26851.5,26864.2
2021-03-19,12.7,27143.1,27155.8
2021-03-22,12.7,26897.67,26910.37
2021-03-23,12.7,26491.86,26504.56
2021-03-24,12.7,26212.41,26225.11
2021-03-25,12.7,26579.34,26592.04
2021-03-26,12.7,26798.04,26810.74
2021-03-29,12.7,26963.28,26975.98
2021-03-30,12.7,27320.49,27333.19
2021-03-31,12.7,27220.86,27233.56
2021-04-01,12.7,26895.24,26907.94
2021-04-05,12.7,27510.03,27522.73
2021-04-06,12.7,27524.61,27537.31
2021-04-07,12.7,27502.74,27515.44
2021-04-08,12.7,27641.25,27653.95
2021-04-09,12.7,27461.43,27474.13
2021-04-12,12.7,27799.2,27811.9
2021-04-13,12.7,27864.81,27877.51
2021-04-14,12.7,28090.8,28103.5
2021-04-15,12.7,28236.6,28249.3
2021-04-16,12.7,28299.78,28312.48
2021-04-19,12.7,28270.62,28283.32
2021-04-20,12.7,28061.64,28074.34
2021-04-22,12.7,27932.85,27945.55
2021-04-23,12.7,28180.71,28193.41
2021-04-26,12.7,28175.85,28188.55
2021-04-27,12.7,27891.54,27904.24
2021-04-28,12.7,28285.2,28297.9
