Date,Cash,Portfolio_Value,Total_Equity
2021-07-02,16.38,37174.46,37190.83
2021-07-05,16.38,37325.13,37341.51
2021-07-06,16.38,36843.83,36860.21
2021-07-07,16.38,37254.38,37270.76
2021-07-08,16.38,36874.5,36890.87
2021-07-12,16.38,37783.83,37800.21
2021-07-13,16.38,37620.36,37636.74
2021-07-14,16.38,38006.75,38023.12
2021-07-15,16.38,37639.43,37655.8
2021-07-16,16.38,37448.95,37465.33
2021-07-19,16.38,37211.77,37228.14
2021-07-20,16.38,37474.76,37491.13
2021-07-21,16.38,37558.21,37574.59
2021-07-22,16.38,37715.9,37732.28
2021-07-23,16.38,37369.81,37386.19
2021-07-26,16.38,37499.34,37515.71
2021-07-27,16.38,37483.95,37500.32
2021-07-28,16.38,38052.05,38068.43
2021-07-29,16.38,37964.19,37980.57
2021-07-30,16.38,37450.77,37467.15
2021-08-02,16.38,38202.66,38219.04
2021-08-03,16.38,38326.48,38342.86
2021-08-04,16.38,37800.26,37816.63
2021-08-05,16.38,37678.28,37694.66
2021-08-06,16.38,38183.85,38200.23
2021-08-09,16.38,38465.16,38481.53
2021-08-10,16.38,38000.89,38017.27
2021-08-11,16.38,38015.64,38032.02
2021-08-12,16.38,37619.31,37635.68
2021-08-13,16.38,37922.39,37938.77
2021-08-16,16.38,37510.06,37526.44
2021-08-17,16.38,36901.63,36918.01
2021-08-18,16.38,37091.16,37107.53
2021-08-19,16.38,38022.96,38039.33
2021-08-20,16.38,38408.52,38424.9
2021-08-23,16.38,38519.92,38536.29
2021-08-24,16.38,39177.85,39194.23
2021-08-25,16.38,39092.2,39108.58
2021-08-26,16.38,38720.34,38736.72
2021-08-27,16.38,39073.61,39089.99
2021-08-30,16.38,38805.07,38821.45
2021-08-31,16.38,38871.1,38887.48
2021-09-01,16.38,39247.17,39263.55
2021-09-02,16.38,38263.66,38280.03
2021-09-03,16.38,37962.56,37978.94
2021-09-06,16.38,38194.01,38210.39
2021-09-08,16.38,36750.44,36766.81
2021-09-09,16.38,37451.07,37467.44
2021-09-10,16.38,37412.12,37428.5
2021-09-13,16.38,37684.45,37700.83
2021-09-14,16.38,37485.22,37501.6
2021-09-15,16.38,37448.55,37464.93
2021-09-16,16.38,37581.64,37598.02
2021-09-17,16.38,37255.27,37271.65
2021-09-20,16.38,36493.24,36509.62
2021-09-21,16.38,36930.95,36947.33
2021-09-22,16.38,37436.86,37453.24
2021-09-23,16.38,37911.31,37927.69
2021-09-24,16.38,37654.53,37670.91
2021-09-27,16.38,37869.87,37886.25
2021-09-28,16.38,37170.59,37186.96
2021-09-29,16.38,37356.15,37372.53
2021-09-30,16.38,36932.1,36948.48
2021-10-01,16.38,37561.03,37577.4
2021-10-04,16.38,36204.08,36220.46
2021-10-05,16.38,36410.36,36426.73
2021-10-06,16.38,36053.06,36069.44
2021-10-07,16.38,35902.84,35919.22
2021-10-08,16.38,36620.86,36637.24
2021-10-11,16.38,36362.73,36379.11
2021-10-13,16.38,36788.63,36805.01
2021-10-14,16.38,36767.98,36784.35
2021-10-15,16.38,37073.14,37089.51
2021-10-18,16.38,37449.37,37465.75
2021-10-19,16.38,36475.38,36491.75
2021-10-20,16.38,36891.27,36907.64
2021-10-21,16.38,36274.64,36291.02
2021-10-22,16.38,35213.66,35230.04
2021-10-25,16.38,36208.98,36225.36
2021-10-26,16.38,35712.46,35728.84
2021-10-27,16.38,35984.4,36000.78
2021-10-28,16.38,35541.54,35557.92
2021-10-29,16.38,34879.91,34896.29
2021-11-01,16.38,35530.93,35547.3
2021-11-03,16.38,35782.59,35798.96
2021-11-04,16.38,35102.81,35119.18
2021-11-05,16.38,35648.56,35664.94
2021-11-08,16.38,35699.96,35716.34
2021-11-09,16.38,35849.08,35865.46
2021-11-10,16.38,36613.45,36629.82
2021-11-11,16.38,36537.84,36554.22
2021-11-12,16.38,36026.1,36042.47
2021-11-16,16.38,35570.06,35586.44
2021-11-17,16.38,35110.53,35126.91
2021-11-18,16.38,34771.42,34787.8
2021-11-19,16.38,34430.23,34446.6
2021-11-22,16.38,34274.85,34291.22
2021-11-23,16.38,34728.24,34744.62
2021-11-24,16.38,35061.59,35077.97
2021-11-25,16.38,35984.29,36000.67
2021-11-26,16.38,35212.93,35229.3
2021-11-29,16.38,35243.32,35259.7
2021-11-30,16.38,34806.88,34823.25
2021-12-01,16.38,34542.48,34558.85
2021-12-02,16.38,35606.11,35622.49
2021-12-03,16.38,35989.37,36005.74
