Date,Cash,Portfolio_Value,Total_Equity
2017-10-31,1.01,17556.26,17557.28
2017-11-01,1.01,17589.07,17590.08
2017-11-02,1.01,17589.07,17590.08
2017-11-03,1.01,17542.91,17543.93
2017-11-06,1.01,17814.57,17815.59
2017-11-07,1.01,17451.58,17452.6
2017-11-08,1.01,17876.67,17877.69
2017-11-09,1.01,17544.21,17545.22
2017-11-10,1.01,17419.3,17420.31
2017-11-13,1.01,17421.18,17422.2
2017-11-14,1.01,17162.5,17163.51
2017-11-15,1.01,17162.5,17163.51
2017-11-16,1.01,17585.77,17586.78
2017-11-17,1.01,17783.94,17784.95
2017-11-20,1.01,17783.94,17784.95
2017-11-21,1.01,18061.79,18062.8
2017-11-22,1.01,18002.87,18003.88
2017-11-23,1.01,17975.02,17976.04
2017-11-24,1.01,17909.99,17911.0
2017-11-27,1.01,17913.24,17914.25
2017-11-28,1.01,17934.02,17935.03
2017-11-29,1.01,17625.98,17626.99
2017-11-30,1.01,17342.31,17343.32
2017-12-01,1.01,17454.95,17455.96
2017-12-04,1.01,17509.42,17510.43
2017-12-05,1.01,17476.45,17477.46
2017-12-06,1.01,17602.09,17603.1
2017-12-07,1.01,17426.17,17427.18
2017-12-08,1.01,17527.25,17528.26
2017-12-11,1.01,17489.86,17490.88
2017-12-12,1.01,17597.69,17598.7
2017-12-13,1.01,17509.84,17510.86
2017-12-14,1.01,17300.15,17301.16
2017-12-15,1.01,17466.17,17467.18
2017-12-18,1.01,17471.09,17472.1
2017-12-19,1.01,17406.87,17407.88
2017-12-20,1.01,17589.14,17590.16
2017-12-21,1.01,17814.01,17815.02
2017-12-22,1.01,17753.89,17754.9
2017-12-25,1.01,17753.89,17754.9
2017-12-26,1.01,17894.59,17895.61
2017-12-27,1.01,18025.79,18026.81
2017-12-28,1.01,18009.79,18010.8
2017-12-29,1.01,18009.79,18010.8
2018-01-02,1.01,18279.37,18280.38
2018-01-03,1.01,18337.98,18338.99
2018-01-04,1.01,18370.13,18371.14
2018-01-05,1.01,18478.66,18479.68
